bronchopneumonia	differ from	pneumonia
pneumonia	produce by	inhalation
pneumonia	start with	cough
pneumonia	begin with	cough
cough	result in	pneumonia
pneumonia	have	cough
pneumonia	associate with	cough
cough	suggest	pneumonia
pneumonia	cause	cough
pneumonia	present with	cough
cough	indicate	pneumonia
pneumonia	occur with	cough
pneumonia	characterize by	cough
pneumonia	accompany by	cough
cough	lead to	pneumonia
sputum	denote	pneumonia
sputum	associate with	pneumonia
pneumonia	produce	sputum
sputum	be in	pneumonia
sputum	see in	pneumonia
pneumonia	cause	sputum
sputum	occur in	pneumonia
sputum	suggest	pneumonia
sputum	indicate	pneumonia
bacteria	cause	pneumonia
bacteria	produce	pneumonia
pneumonia	cause by	bacteria
bacteria	give to	pneumonia
bacteria	associate with	pneumonia
bacteria	include	pneumonia
pneumonia	take	life
pneumonia	claim	life
life	cut by	pneumonia
life	save from	pneumonia
pneumonia	end	life
antibiotic	prescribe for	pneumonia
pneumonia	respond to	antibiotic
pneumonia	check by	antibiotic
antibiotic	indicate for	pneumonia
pneumonia	treat by	antibiotic
pneumonia	require	antibiotic
antibiotic	cure	pneumonia
pneumonia	treat with	antibiotic
antibiotic	give for	pneumonia
inflammation	complicate	pneumonia
pneumonia	cause	inflammation
pneumonia	mean	inflammation
pneumonia	characterize by	inflammation
pneumonia	accompany by	inflammation
inflammation	associate with	pneumonia
pneumonia	refer to	inflammation
pneumonia	define as	inflammation
pneumonia	imply	inflammation
inflammation	describe	pneumonia
pneumonia	associate with	empyema
empyema	result from	pneumonia
empyema	confound with	pneumonia
empyema	associate with	pneumonia
pneumonia	follow by	empyema
empyema	complicate	pneumonia
pneumonia	complicate by	empyema
empyema	follow	pneumonia
abscess	be in	pneumonia
pneumonia	terminate in	abscess
abscess	follow	pneumonia
pneumonia	associate with	abscess
abscess	see in	pneumonia
abscess	complicate	pneumonia
pneumonia	progress to	abscess
pneumonia	complicate by	abscess
abscess	result from	pneumonia
abscess	cause by	pneumonia
effusion	complicate	pneumonia
effusion	suggest	pneumonia
effusion	accompany	pneumonia
effusion	follow	pneumonia
pneumonia	accompany by	effusion
pneumonia	associate with	effusion
pneumonia	complicate by	effusion
effusion	be in	pneumonia
pneumonia	confound with	effusion
effusion	associate with	pneumonia
measles	follow by	pneumonia
pneumonia	associate with	measles
pneumonia	complicate	measles
measles	associate with	pneumonia
measles	cause	pneumonia
pneumonia	follow	measles
measles	complicate with	pneumonia
measles	complicate by	pneumonia
pneumonia	usher by	chill
chill	suggest	pneumonia
chill	turn to	pneumonia
pneumonia	begin with	chill
chill	develop into	pneumonia
pneumonia	cause by	chill
chill	be in	pneumonia
cold	turn into	pneumonia
cold	progress to	pneumonia
cold	develop into	pneumonia
cold	turn to	pneumonia
cold	lead to	pneumonia
cold	complicate by	pneumonia
cold	produce	pneumonia
cold	suggest	pneumonia
cold	bring on	pneumonia
pathogen	cause	pneumonia
pathogen	admit with	pneumonia
pneumonia	cause by	pathogen
pathogen	include	pneumonia
pneumonia	show	bacillus
pneumonia	cause by	bacillus
bacillus	cause	pneumonia
bacillus	produce	pneumonia
vaccine	protect against	pneumonia
pneumonia	prevent with	vaccine
vaccine	prevent	pneumonia
pneumonia	cause by	streptococcus
pneumonia	cause by	streptococci
streptococci	present in	pneumonia
streptococci	cause	pneumonia
pneumocystis	cause	pneumonia
phthisis	mistake for	pneumonia
phthisis	confound with	pneumonia
pneumonia	terminate in	phthisis
penicillin	cure	pneumonia
pneumonia	treat with	penicillin
pneumonia	respond to	penicillin
pneumonia	differentiate from	atelectasis
atelectasis	lead to	pneumonia
pneumonia	follow	atelectasis
pericarditis	cause by	pneumonia
pericarditis	be in	pneumonia
pneumonia	complicate with	pericarditis
pneumonia	come with	delirium
pneumonia	associate with	delirium
pneumonia	accompany by	delirium
pneumonia	accompany by	bacteremia
bacteremia	accompany	pneumonia
bacteremia	be in	pneumonia
pneumonia	characterize by	necrosis
pneumonia	terminate in	necrosis
headache	occur in	pneumonia
headache	occur with	pneumonia
haemorrhage	cause	pneumonia
pneumonia	accompany by	haemorrhage
pneumonia	terminate in	gangrene
gangrene	follow	pneumonia
pneumonia	mistake for	appendicitis
pneumonia	confuse with	appendicitis
pneumonia	simulate	appendicitis
pneumonia	be in	alcoholic
pneumonia	occur in	alcoholic
pneumonia	kill	thousand
thousand	die of	pneumonia
pneumonia	treat with	tetracycline
pneumonia	respond with	tetracycline
pneumonia	cause by	staphylococci
staphylococci	cause	pneumonia
pneumonia	complicate	pregnancy
